;metro; min;quantile_10;median;mean;max;count
1;____________;4,6;5,3;8;8,483516484;16,8;91
2;_____________;4;7,58;11,6;11,82403101;36,4;129
3;_____________;3;7,4;11,8;14,80451977;59;177
4;_______________ ___;59,8;63,32;80,2;83,73846154;138,5;13
5;____________;5;7,5;12,8;14,61933962;45,4;212
6;_________;4,7;5,77;7,05;7,538607595;26,8;158
7;______;3,9;5,1;7;7,574626866;15,2;67
8;_________;16;22,3;59,4;69,42789116;401,1;147
9;________;6,5;7,32;14,9;17,30056497;65;177
10;____________;4;5,2;7,2;7,843778802;23;217
11;_______________;6,5;7,02;10,35;12,01388889;27,9;72
12;___________;12;17,8;30,6;73,96582278;1239,8;79
13;__________;6,5;9,99;17;17,58153846;102,4;130
14;_______;4;9,88;16,9;20,64689655;182,3;290
15;___________;6,3;9;17;28,46266667;164,5;225
16;_______;2,6;5,9;8,2;10,0410596;31,5;151
17;________;3,7;5;6,7;7,070833333;14,8;144
18;__________ __, ______;55;57,28;71;69,3;80,2;4
19;______________;5,6;5,94;7,4;7,383333333;9,5;18
20;__________;116,6;134,94;208,3;208,3;300;2
21;____________ ___;3;5,92;8,2;8,359821429;15;112
22;_____________;4,6;6,3;8,1;8,626143791;20,3;153
23;_______ ________ _______;5;5,6;7,9;7,639215686;12,3;51
24;_______ _______ ________;5,4;5,8;6,9;7,539855072;22,5;138
25;_________ _____;2,5;4,7;6;6,145736434;13,5;258
26;__________;3,1;6,2;8,5;9,468965517;28,9;87
27;____;6,5;7;11,2;11,35840708;17,9;113
28;_________;4,9;5,7;7,3;7,746666667;12;30
29;______ _______;4,6;6,99;8,1;8,7332;45;250
30;__________;4,8;6,8;11,8;12,29655172;41;145
31;_____________ ________;7,4;7,9;11;11,28095238;19;21
32;________;3,6;5,13;6,3;7,189285714;20;84
33;_________ ____;11,9;13,45;31,35;53,5125;291,7;16
34;______;4,6;5,1;6,7;6,502272727;10,3;176
35;___________;7;11,6;72,9;74,77823129;196,9;147
36;______;5;6,4;9,95;11,80175439;57,5;228
37;___________;4,8;5,4;7;7,596832579;19;221
38;____________;9,4;15;35,7;35,16769231;88,8;65
39;_____________;3,4;5,23;6,3;6,668390805;10,2;174
40;________;5,7;7,56;13,5;13,94029851;36,7;67
41;____________;5,3;5,67;14,5;14,70078125;36,2;128
42;_________;4,9;7,96;20,6;18,875;80;220
43;______________;3,8;5,06;6,8;7,354140127;19,5;157
44;_________;4,3;6,3;7,3;8,529487179;32,2;234
45;_________;5;5,2;7;8,006896552;16,5;29
46;________;10,3;12,7;19,75;29,82088608;167,7;158
47;_____-_____;12,5;18,8;40;64,38275862;291,7;29
48;___________;5,1;6,25;8,55;8,61;14;40
49;___________;4,9;5,8;7,9;8,603517588;16,5;199
50;_____________;7,5;11,98;19,3;19,8175;29,1;40
51;________;5,9;7,8;8,65;9,092045455;13,3;88
52;_________________;5,2;5,8;6,7;7,047540984;11,5;61
53;______________;5,4;7,05;14;14,925;29,1;76
54;_______ ______;7,5;9,8;17,7;23,01463415;65,6;41
55;____________ _______;6,8;7,9;11,65;16,88125;76,5;16
56;_____________;19;25;57,5;116,1336207;1458,5;116
57;__________;6,9;8,5;11,8;17,1081761;87,5;159
58;_________ ____;10,2;11,12;20,3;20;30;5
59;_________;4,6;5,2;6,5;7,504280156;27,5;257
60;__________;4,9;6,93;14,4;21,60060976;153,1;164
61;_______;8,9;12,01;22,1;31,975;175;92
62;___________;6,5;9,5;17,75;17,44464286;43,7;56
63;_________ ________;8,7;9,66;15,3;23,34857143;102,1;35
64;_______;27;31,95;128,9;173,09;420,7;10
65;_______;4,4;5,7;6,6;7,075144509;13,3;173
66;____________;7,1;9,05;13,7;24,63461538;95,5;26
67;_______;4,8;6;6,7;7,303571429;13,9;140
68;__________;10;14,97;34,15;37,33067227;160,7;238
69;__________;3,3;5,18;6,7;7,453571429;31,5;140
70;_____________;7,6;54,76;76,6;85,55473684;226;95
71;_____________;7,4;9,2;13,9;20,52028986;83,9;69
72;__________;5;6,5;12,3;13,43054545;95;275
73;___________;3,5;6,34;11,4;12,31420765;26,9;183
74;________;5;6,3;10;10,87633136;25;169
75;___________ ________;4,5;6,2;8,6;9,576595745;28,4;94
76;___________;4,6;5,3;6,8;7,085483871;16,7;186
77;_____________;10;26,9;51,1;52,21196911;377;259
78;______________;7,5;10,4;27,5;37,48395062;240;81
79;_____ _________;5,4;7,9;15,95;17,175;48;336
80;___________;9,5;12,44;27,75;28,55;66;98
81;___________ ____;3,2;7,19;11,4;11,63333333;39,5;300
82;_______;4,5;5,74;8,2;8,022962963;20,4;135
83;________;5,1;6,06;7,6;8,135294118;18;187
84;_______ ___;17,2;21,2;38;111,6275862;1750,3;29
85;__________;7,4;9,5;12,3;14,30462963;52,5;108
86;____ ________;9,9;28,71;61,75;82,79369748;2880,7;238
87;____ ______;4,6;6,09;12;19,43111111;134,9;180
88;____________;5,3;6,26;7,75;8,835;15;20
89;____________;3,5;3,8;7,45;9,099342105;32,5;152
90;______;4,6;5,3;6,85;44,1190678;8700;236
91;_________-___________;2,3;3,18;6,7;6,575510204;11,5;49
92;_________;5,4;5,72;7;7,233333333;11,9;93
93;__________;5,8;6,76;9;10,5173913;17;23
94;_________;5,2;6,02;7,5;8,136090226;14,5;133
95;_______ ______;5,1;7,47;10,9;10,728;17,3;50
96;_______ _________;241,5;392,38;995,9;995,9;1750,3;2
97;__________;15,5;21,24;48,1;77,0890625;398,1;64
98;___________;22,5;28;46,9;43,74;70;25
99;____________;6,5;10,58;18,9;21,0192;54,6;125
100;_______;8;13,76;58,3;93,14155844;729,2;77
101;________;4,9;5,9;7,6;8,68;21;170
102;______________ _______;4,4;6,5;9,4;11,68461538;27;182
103;____________;5,7;7,14;9,7;12,55483871;42,5;155
104;________ ___________;5,4;7,5;13;17,4340249;96,9;241
105;________ ____;7,3;9,34;14,3;19,11030928;124,4;97
106;___________;7,1;7,9;13;16,60463576;60;151
107;______ ______;5,4;6,56;8,7;9,624137931;33,5;174
108;_______;6,3;7,76;11,7;12,18571429;21;49
109;_______;8,2;9,28;12,75;13,53269231;19,9;52
110;_________ ________;4,8;5,36;6,5;6,912738854;16;157
111;___________;5,6;7,2;8,5;9,165217391;24,9;69
112;________;3,3;6,46;8;8,671028037;20;107
113;_______________;5,1;5,96;8,7;11,21030928;32,2;97
114;___________;5;5,8;7,4;7,997142857;17,3;70
115;____________;11,5;13,92;30,9;29,37311828;72,9;93
116;__________;9,5;15,96;29,9;56,67351598;450;219
117;_____;3,8;7,25;12,5;17,90448718;160,4;156
118;__________;5,4;6,9;10,55;16,895;75,1;80
119;__________;8,2;11,5;23,25;46,94545455;282,9;88
120;__________ _______;10,1;15,25;28,75;30,12222222;58,3;18
121;____________;8;9,16;12,1;17,896;123,9;25
122;___________;6,9;12;16,1;17,71857143;33,1;70
123;___________;3,9;5,5;6,85;7,97991453;21,5;234
124;_________;7,5;11,3;43,5;46,80067114;153,1;149
125;________;11,2;21,8;38;44,30140845;155,2;71
126;____________;4,9;5,8;7;7,395833333;13,9;168
127;______ ____;4,2;5,5;7,45;7,2953125;14,6;64
128;_____________;6;6,8;8,55;9,626229508;22,9;122
129;_____________;10;20,6;31,4;39,11034483;100,4;29
130;_______;20;20,49;94,25;136,1333333;291,7;12
131;________;6,9;9,45;15,05;17,96666667;65,6;96
132;____________;18;26,7;53,2;49,65714286;88,7;7
133;_________;4,5;6,5;9,6;9,767549669;21;151
134;_____ 1905 ____;5,7;8,42;26,3;26,15708155;85,3;233
135;_____ _________ ______;4,8;5,65;7,6;8,296116505;15,7;206
136;_____ _________;4;5;6,55;7,224242424;16,5;66
137;_______ _____________;3,7;6;8,2;9,803636364;60;110
138;_____ ____________;3,8;5,42;7,1;7,372164948;12,9;97
139;_____ ________________;2;4,1;6,7;7,37;12,2;30
140;___________;6,4;10,4;22,75;34,97444444;180;270
141;_________ ____;5,4;6,4;9,1;11,49382716;39,9;81
142;____;4,4;7,5;10,5;11,26033333;20,6;300
143;___________;9,4;17,88;52,3;62,954;449,2;300
144;________;4,1;4,98;6,2;6,587878788;10,4;99
145;_______ _______;6,9;11,92;31,6;49,52222222;291,7;63
146;____________;4,9;5,38;6,5;6,916;11,5;25
147;____________;5,1;6,26;8,2;10,21818182;25;187
148;_________;23;23;25;42,36363636;131,2;11
149;______ _____;8,1;15,5;28,25;41,33559322;214,4;118
150;__________;12,8;19,92;30,5;38,25625;138,5;32
151;___________;8;8,8;21,25;25,27716049;67,8;162
152;_____ ___________;4,2;5,1;6,1;6,994915254;15,6;59
153;__________;4,6;5,3;6,1;6,936900369;15,6;271
154;_________;2;6,14;10,1;15,26046512;159,2;129
155;________________;5,4;6,9;10,7;12,06666667;31;69
156;___-________;6;9,36;23,5;26,63939394;116,6;297
157;_____;5;5,7;7,25;7,580357143;13,5;112
158;_______;5,3;5,8;8,65;10,10514706;22,5;136
159;_________________;8,5;11,03;25,75;31,26296296;274,4;54